run,seed,optimizer,lr,augment,freeze_encoder,cosine,val_dice_delta_fixed,val_f1_delta_fixed,best_val_dice_delta,best_val_f1_delta,all_dice_delta_fixed,best_all_dice_delta,tuned_best_val_threshold,baseline_best_val_threshold
adamw_low_lr,42,adamw,3e-05,False,False,False,0.001058614183850226,0.0010586141726220133,0.001268290628577723,0.0012682906003790295,0.003164413080171735,0.003164413080171735,0.55,0.55
aug_adamw_cosine,42,adamw,5e-05,True,False,True,0.0012724996025818558,0.0012724995881871204,0.0016486812207837376,0.0016486811762749243,0.003293242660785012,0.003293242660785012,0.55,0.55
aug_only,42,adam,0.0001,True,False,False,0.0015742672422453807,0.0015742672002757585,0.0007614232833584589,0.0007614232482908156,0.006932049422209041,0.006932049422209041,0.5,0.55
baseline_default,42,adam,0.0001,False,False,False,0.0021133965304132307,0.0021133964544053085,0.0013005525715263089,0.0013005525024203657,0.01017213217273985,0.01017213217273985,0.5,0.55
baseline_default_seed123,123,adam,0.0001,False,False,False,-0.03021343427722223,-0.030213434334495082,0.0002368181638613409,0.00023681816212922646,-0.007548034566162959,0.00021704992190943462,0.4,0.45
baseline_default_seed7,7,adam,0.0001,False,False,False,0.005557018478488107,0.005557018251354295,0.0005415345954018491,0.0005415344118059884,0.012186961502439891,0.012186961502439891,0.5,0.55
freeze_encoder,42,adamw,3e-05,False,True,False,0.00199421289455054,0.0019942128117535485,0.002248568024677572,0.0022485679846938056,0.01124041979894963,0.01124041979894963,0.45,0.55
full_combo,42,adamw,5e-05,True,True,True,0.0031878134065431996,0.0031878133236974138,0.0023749694476562777,0.002374969371712471,0.01258036952183239,0.01258036952183239,0.5,0.55
full_combo_seed123,123,adamw,5e-05,True,True,True,0.002781661767807697,0.002781661737358332,0.0027493664477665214,0.0027493664171239773,0.0020629559774646145,0.0020629559774646145,0.5,0.45
full_combo_seed7,7,adamw,5e-05,True,True,True,0.0030162523289317122,0.0030162522844373596,0.0008040705011512772,0.000804070364587961,0.0030161148821037653,0.0030161148821037653,0.55,0.55
